sezon,data,godz,cena_pln_mwh
Zima,2025-01-15,0,461.23
Zima,2025-01-15,1,450.84
Zima,2025-01-15,2,456.37
Zima,2025-01-15,3,456.13
Zima,2025-01-15,4,470.17
Zima,2025-01-15,5,491.26
Zima,2025-01-15,6,598.56
Zima,2025-01-15,7,811.39
Zima,2025-01-15,8,1036.51
Zima,2025-01-15,9,1208.36
Zima,2025-01-15,10,1007.42
Zima,2025-01-15,11,1025.19
Zima,2025-01-15,12,1009.47
Zima,2025-01-15,13,1100.84
Zima,2025-01-15,14,1052.23
Zima,2025-01-15,15,1192.55
Zima,2025-01-15,16,1376.29
Zima,2025-01-15,17,1311.33
Zima,2025-01-15,18,1201.98
Zima,2025-01-15,19,1190.7
Zima,2025-01-15,20,886.98
Zima,2025-01-15,21,658.1
Zima,2025-01-15,22,605.82
Zima,2025-01-15,23,566.8
Zima,2025-01-16,0,539.16
Zima,2025-01-16,1,502.25
Zima,2025-01-16,2,493.54
Zima,2025-01-16,3,482.74
Zima,2025-01-16,4,484.27
Zima,2025-01-16,5,510.34
Zima,2025-01-16,6,602.98
Zima,2025-01-16,7,743.52
Zima,2025-01-16,8,818.23
Zima,2025-01-16,9,749.45
Zima,2025-01-16,10,664.38
Zima,2025-01-16,11,600.79
Zima,2025-01-16,12,574.97
Zima,2025-01-16,13,580.66
Zima,2025-01-16,14,605.63
Zima,2025-01-16,15,678.71
Zima,2025-01-16,16,750.27
Zima,2025-01-16,17,770.07
Zima,2025-01-16,18,779.35
Zima,2025-01-16,19,720.73
Zima,2025-01-16,20,606.39
Zima,2025-01-16,21,560.81
Zima,2025-01-16,22,524.44
Zima,2025-01-16,23,483.81
Zima,2025-01-17,0,487.42
Zima,2025-01-17,1,469.47
Zima,2025-01-17,2,465.65
Zima,2025-01-17,3,470.57
Zima,2025-01-17,4,477.71
Zima,2025-01-17,5,504.86
Zima,2025-01-17,6,590.51
Zima,2025-01-17,7,756.35
Zima,2025-01-17,8,844.28
Zima,2025-01-17,9,749.24
Zima,2025-01-17,10,625.51
Zima,2025-01-17,11,536.3
Zima,2025-01-17,12,524.72
Zima,2025-01-17,13,526.12
Zima,2025-01-17,14,554.51
Zima,2025-01-17,15,628.06
Zima,2025-01-17,16,712.28
Zima,2025-01-17,17,699.9
Zima,2025-01-17,18,731.22
Zima,2025-01-17,19,711.53
Zima,2025-01-17,20,615.21
Zima,2025-01-17,21,549.64
Zima,2025-01-17,22,568.83
Zima,2025-01-17,23,518.94
Zima,2025-01-18,0,513.92
Zima,2025-01-18,1,501.33
Zima,2025-01-18,2,492.17
Zima,2025-01-18,3,487.08
Zima,2025-01-18,4,479.89
Zima,2025-01-18,5,494.31
Zima,2025-01-18,6,507.97
Zima,2025-01-18,7,545.54
Zima,2025-01-18,8,609.93
Zima,2025-01-18,9,597.74
Zima,2025-01-18,10,527.45
Zima,2025-01-18,11,510.44
Zima,2025-01-18,12,497.79
Zima,2025-01-18,13,490.37
Zima,2025-01-18,14,510.78
Zima,2025-01-18,15,570.1
Zima,2025-01-18,16,640.83
Zima,2025-01-18,17,690.31
Zima,2025-01-18,18,715.22
Zima,2025-01-18,19,705.93
Zima,2025-01-18,20,645.56
Zima,2025-01-18,21,593.23
Zima,2025-01-18,22,557.64
Zima,2025-01-18,23,531.97
Zima,2025-01-19,0,534.64
Zima,2025-01-19,1,513.47
Zima,2025-01-19,2,507.7
Zima,2025-01-19,3,502.36
Zima,2025-01-19,4,497.04
Zima,2025-01-19,5,498.14
Zima,2025-01-19,6,504.43
Zima,2025-01-19,7,512.61
Zima,2025-01-19,8,528.32
Zima,2025-01-19,9,520.63
Zima,2025-01-19,10,498.67
Zima,2025-01-19,11,465.52
Zima,2025-01-19,12,463.62
Zima,2025-01-19,13,451.56
Zima,2025-01-19,14,484.56
Zima,2025-01-19,15,526.63
Zima,2025-01-19,16,590.09
Zima,2025-01-19,17,629.87
Zima,2025-01-19,18,660.53
Zima,2025-01-19,19,655.73
Zima,2025-01-19,20,618.29
Zima,2025-01-19,21,573.85
Zima,2025-01-19,22,532.08
Zima,2025-01-19,23,511.66
Zima,2025-01-20,0,517.6
Zima,2025-01-20,1,505.35
Zima,2025-01-20,2,497.04
Zima,2025-01-20,3,490.29
Zima,2025-01-20,4,496.57
Zima,2025-01-20,5,528.41
Zima,2025-01-20,6,649.95
Zima,2025-01-20,7,817.24
Zima,2025-01-20,8,868.96
Zima,2025-01-20,9,725.3
Zima,2025-01-20,10,617.76
Zima,2025-01-20,11,658.85
Zima,2025-01-20,12,642.81
Zima,2025-01-20,13,598.53
Zima,2025-01-20,14,622.08
Zima,2025-01-20,15,818.09
Zima,2025-01-20,16,848.81
Zima,2025-01-20,17,778.58
Zima,2025-01-20,18,734.24
Zima,2025-01-20,19,735.79
Zima,2025-01-20,20,629.45
Zima,2025-01-20,21,578.12
Zima,2025-01-20,22,555.57
Zima,2025-01-20,23,527.51
Zima,2025-01-21,0,527.72
Zima,2025-01-21,1,495.19
Zima,2025-01-21,2,492.32
Zima,2025-01-21,3,486.61
Zima,2025-01-21,4,485.14
Zima,2025-01-21,5,513.75
Zima,2025-01-21,6,604.65
Zima,2025-01-21,7,780.28
